Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Oct 31, 2019;Nov 1, 2019;1,378,336.00;1,405,655.50;27,319.50;1,093,659.75
Nov 1, 2019;Nov 2, 2019;1,268,092.00;1,282,463.00;14,371.00;806,072.00
Nov 2, 2019;Nov 3, 2019;1,224,070.50;1,262,266.50;38,196.00;585,362.75
Nov 3, 2019;Nov 4, 2019;1,128,963.25;1,167,773.00;38,809.75;788,656.25
Nov 4, 2019;Nov 5, 2019;1,428,774.75;1,459,436.25;30,661.50;1,116,984.50
Nov 5, 2019;Nov 6, 2019;1,481,827.75;1,509,317.25;27,489.50;1,229,682.75
Nov 6, 2019;Nov 7, 2019;1,491,698.75;1,519,348.75;27,650.00;1,350,360.50
Nov 7, 2019;Nov 8, 2019;1,509,018.00;1,540,156.75;31,138.75;1,173,405.75
Nov 8, 2019;Nov 9, 2019;1,473,112.75;1,497,501.00;24,388.25;1,285,462.75
Nov 9, 2019;Nov 10, 2019;1,270,911.75;1,294,246.00;23,334.25;1,081,238.50
Nov 10, 2019;Nov 11, 2019;1,187,107.75;1,212,569.75;25,462.00;990,956.50
Nov 11, 2019;Nov 12, 2019;1,525,379.00;1,549,936.75;24,557.75;1,073,190.75
Nov 12, 2019;Nov 13, 2019;1,566,387.50;1,599,506.00;33,118.50;1,002,731.25
Nov 13, 2019;Nov 14, 2019;1,529,887.75;1,557,577.25;27,689.50;1,140,363.25
Nov 14, 2019;Nov 15, 2019;1,519,779.75;1,546,512.50;26,732.75;1,114,674.75
Nov 15, 2019;Nov 16, 2019;1,536,482.25;1,562,391.00;25,908.75;1,020,797.75
Nov 16, 2019;Nov 17, 2019;1,316,943.50;1,343,406.25;26,462.75;967,748.00
Nov 17, 2019;Nov 18, 2019;1,230,224.00;1,260,391.00;30,167.00;907,102.00
Nov 18, 2019;Nov 19, 2019;1,532,179.25;1,564,363.50;32,184.25;1,109,050.00
Nov 19, 2019;Nov 20, 2019;1,584,000.00;1,615,467.75;31,467.75;1,136,266.50
Nov 20, 2019;Nov 21, 2019;1,525,568.50;1,551,886.00;26,317.50;1,468,113.50
Nov 21, 2019;Nov 22, 2019;1,541,151.75;1,569,294.00;28,142.25;1,392,819.00
Nov 22, 2019;Nov 23, 2019;1,531,973.50;1,556,096.25;24,122.75;1,231,762.50
Nov 23, 2019;Nov 24, 2019;1,336,730.50;1,372,755.00;36,024.50;671,951.50
Nov 24, 2019;Nov 25, 2019;1,213,350.00;1,233,380.75;20,030.75;867,611.75
Nov 25, 2019;Nov 26, 2019;1,496,715.75;1,519,419.00;22,703.25;1,421,974.00
Nov 26, 2019;Nov 27, 2019;1,545,751.25;1,570,449.75;24,698.50;1,295,707.75
Nov 27, 2019;Nov 28, 2019;1,587,324.00;1,612,546.25;25,222.25;1,042,561.25
Nov 28, 2019;Nov 29, 2019;1,597,619.50;1,636,039.50;38,420.00;717,873.50
Nov 29, 2019;Nov 30, 2019;1,544,655.00;1,574,538.75;29,883.75;879,289.25
Nov 30, 2019;Dec 1, 2019;1,290,334.75;1,315,502.75;25,168.00;1,039,907.50
Dec 1, 2019;Dec 2, 2019;1,230,070.00;1,257,015.00;26,945.00;1,074,807.75
Dec 2, 2019;Dec 3, 2019;1,496,010.00;1,523,423.75;27,413.75;1,121,671.25
Dec 3, 2019;Dec 4, 2019;1,571,776.50;1,601,334.25;29,557.75;1,271,409.25
Dec 4, 2019;Dec 5, 2019;1,580,502.00;1,605,545.25;25,043.25;1,232,164.25
Dec 5, 2019;Dec 6, 2019;1,611,915.50;1,636,070.25;24,154.75;1,146,895.00
Dec 6, 2019;Dec 7, 2019;1,620,495.75;1,650,949.75;30,454.00;744,068.50
Dec 7, 2019;Dec 8, 2019;1,379,209.50;1,418,887.50;39,678.00;511,270.00
Dec 8, 2019;Dec 9, 2019;1,292,556.75;1,342,128.00;49,571.25;354,797.25
Dec 9, 2019;Dec 10, 2019;1,558,017.50;1,590,577.25;32,559.75;777,486.25
Dec 10, 2019;Dec 11, 2019;1,589,590.00;1,626,435.75;36,845.75;1,000,307.50
Dec 11, 2019;Dec 12, 2019;1,611,693.25;1,642,357.50;30,664.25;1,131,253.75
Dec 12, 2019;Dec 13, 2019;1,582,509.50;1,613,851.25;31,341.75;1,180,947.75
Dec 13, 2019;Dec 14, 2019;1,561,002.25;1,592,588.25;31,586.00;978,832.75
Dec 14, 2019;Dec 15, 2019;1,361,669.25;1,391,630.00;29,960.75;510,024.00
Dec 15, 2019;Dec 16, 2019;1,281,929.75;1,331,227.00;49,297.25;392,187.00
Dec 16, 2019;Dec 17, 2019;1,493,799.25;1,514,508.75;20,709.50;1,008,533.75
Dec 17, 2019;Dec 18, 2019;1,494,454.25;1,531,868.75;37,414.50;933,686.25
Dec 18, 2019;Dec 19, 2019;1,482,837.25;1,516,407.00;33,569.75;1,031,428.50
Dec 19, 2019;Dec 20, 2019;1,462,562.50;1,498,451.25;35,888.75;865,909.25
Dec 20, 2019;Dec 21, 2019;1,392,270.25;1,427,601.25;35,331.00;715,452.75
Dec 21, 2019;Dec 22, 2019;1,225,236.25;1,257,443.00;32,206.75;757,532.50
Dec 22, 2019;Dec 23, 2019;1,159,607.00;1,197,340.00;37,733.00;727,240.75
Dec 23, 2019;Dec 24, 2019;1,250,114.50;1,289,853.50;39,739.00;625,119.75
Dec 24, 2019;Dec 25, 2019;1,136,307.50;1,174,927.75;38,620.25;651,025.50
Dec 25, 2019;Dec 26, 2019;1,064,150.00;1,098,759.50;34,609.50;751,817.50
Dec 26, 2019;Dec 27, 2019;1,060,206.25;1,092,412.50;32,206.25;894,262.75
Dec 27, 2019;Dec 28, 2019;1,172,396.25;1,204,015.75;31,619.50;1,005,587.25
Dec 28, 2019;Dec 29, 2019;1,154,866.50;1,181,393.75;26,527.25;965,899.00
Dec 29, 2019;Dec 30, 2019;1,124,221.75;1,154,059.50;29,837.75;728,889.00
Dec 30, 2019;Dec 31, 2019;1,248,096.50;1,284,455.75;36,359.25;531,692.00
Dec 31, 2019;Jan 1, 2020;1,167,935.75;1,205,851.00;37,915.25;682,968.75
Jan 1, 2020;Jan 2, 2020;1,090,315.75;1,124,448.00;34,132.25;824,344.25
Jan 2, 2020;Jan 3, 2020;1,331,574.75;1,364,948.75;33,374.00;899,670.00
Jan 3, 2020;Jan 4, 2020;1,383,843.25;1,427,656.50;43,813.25;590,376.75
Jan 4, 2020;Jan 5, 2020;1,303,389.75;1,334,810.00;31,420.25;492,338.25
Jan 5, 2020;Jan 6, 2020;1,186,788.25;1,210,961.50;24,173.25;845,565.75
Jan 6, 2020;Jan 7, 2020;1,387,734.25;1,421,693.50;33,959.25;956,374.75
Jan 7, 2020;Jan 8, 2020;1,535,141.25;1,571,412.75;36,271.50;1,031,179.00
Jan 8, 2020;Jan 9, 2020;1,571,399.50;1,605,086.25;33,686.75;986,139.75
Jan 9, 2020;Jan 10, 2020;1,542,292.25;1,569,633.75;27,341.50;987,314.75
Jan 10, 2020;Jan 11, 2020;1,522,620.25;1,557,263.25;34,643.00;882,592.50
Jan 11, 2020;Jan 12, 2020;1,328,030.75;1,353,800.50;25,769.75;775,640.50
Jan 12, 2020;Jan 13, 2020;1,288,505.75;1,315,557.50;27,051.75;470,300.50
Jan 13, 2020;Jan 14, 2020;1,539,195.50;1,571,771.25;32,575.75;1,055,448.75
Jan 14, 2020;Jan 15, 2020;1,615,685.50;1,653,161.75;37,476.25;666,445.25
Jan 15, 2020;Jan 16, 2020;1,585,640.25;1,620,342.75;34,702.50;679,154.75
Jan 16, 2020;Jan 17, 2020;1,545,182.25;1,583,748.25;38,566.00;1,024,197.25
Jan 17, 2020;Jan 18, 2020;1,545,423.00;1,581,840.50;36,417.50;916,890.00
Jan 18, 2020;Jan 19, 2020;1,343,193.00;1,374,008.00;30,815.00;791,411.50
Jan 19, 2020;Jan 20, 2020;1,229,236.75;1,253,553.00;24,316.25;917,993.25
Jan 20, 2020;Jan 21, 2020;1,529,006.50;1,564,247.75;35,241.25;1,266,220.25
Jan 21, 2020;Jan 22, 2020;1,595,396.50;1,621,534.00;26,137.50;1,166,350.00
Jan 22, 2020;Jan 23, 2020;1,597,361.25;1,633,273.75;35,912.50;1,327,014.25
Jan 23, 2020;Jan 24, 2020;1,587,881.75;1,621,559.25;33,677.50;1,449,824.75
Jan 24, 2020;Jan 25, 2020;1,569,452.00;1,603,023.25;33,571.25;1,322,734.50
Jan 25, 2020;Jan 26, 2020;1,357,639.00;1,375,627.25;17,988.25;1,157,305.75
Jan 26, 2020;Jan 27, 2020;1,233,826.50;1,255,130.50;21,304.00;966,827.00
Jan 27, 2020;Jan 28, 2020;1,547,462.25;1,592,486.50;45,024.25;954,843.00
Jan 28, 2020;Jan 29, 2020;1,604,453.00;1,642,066.50;37,613.50;771,599.75
Jan 29, 2020;Jan 30, 2020;1,646,152.75;1,681,933.25;35,780.50;772,671.00
Jan 30, 2020;Jan 31, 2020;1,614,929.50;1,655,787.75;40,858.25;739,113.00
Jan 31, 2020;Feb 1, 2020;1,565,342.25;1,607,644.50;42,302.25;637,552.25
